IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.82.142.108,8443,443,true,DUB,Europe,IE,Dublin,311,11.32
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,300,11.12
20.33.30.36,2083,443,true,LAX,North America,US,Los Angeles,273,11.11
20.91.225.232,2053,443,true,ARN,Europe,SE,Stockholm,430,11.10
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,261,10.82
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,365,10.80
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,551,10.68
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,241,10.63
158.23.168.120,443,443,true,DFW,North America,US,Dallas,238,10.56
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,206,10.19
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,267,9.74
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,395,9.45
20.163.71.179,443,443,true,SJC,North America,US,San Jose,364,9.35
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,398,9.07
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,383,8.96
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,334,8.83
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,317,8.78
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,358,8.58
20.221.32.145,443,443,true,ORD,North America,US,Chicago,326,8.51
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,269,8.51
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,482,8.29
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,337,8.22
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,353,8.11
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,222,8.09
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,367,8.08
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,291,8.06
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,229,8.04
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,335,8.00
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,442,7.97
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,338,7.81
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,320,7.79
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,404,7.73
