IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
194.87.77.214,4,4,0.00,152.77,0.00,FRA
139.144.178.84,4,4,0.00,156.45,0.00,FRA
194.233.175.240,4,4,0.00,160.57,0.00,FRA
92.222.25.240,4,4,0.00,164.25,0.00,FRA
139.144.77.106,4,4,0.00,164.50,0.00,FRA
139.162.145.198,4,4,0.00,168.33,0.00,FRA
57.129.63.63,4,4,0.00,169.80,0.00,FRA
139.177.180.67,4,4,0.00,170.36,0.00,FRA
139.162.145.250,4,4,0.00,171.04,0.00,FRA
139.144.68.157,4,4,0.00,171.73,0.00,FRA
139.144.77.240,4,4,0.00,173.66,0.00,FRA
139.162.148.170,4,4,0.00,174.16,0.00,FRA
45.79.251.70,4,4,0.00,174.20,0.00,FRA
139.144.78.23,4,4,0.00,174.49,0.00,FRA
139.177.180.78,4,4,0.00,174.72,0.00,FRA
139.162.135.146,4,4,0.00,175.19,0.00,FRA
139.144.77.172,4,4,0.00,175.22,0.00,FRA
139.144.181.67,4,4,0.00,175.50,0.00,FRA
139.162.144.244,4,4,0.00,175.54,0.00,FRA
162.19.224.15,4,4,0.00,176.07,0.00,FRA
139.144.179.62,4,4,0.00,176.22,0.00,FRA
194.87.77.95,4,4,0.00,176.46,0.00,FRA
139.144.178.103,4,4,0.00,176.72,0.00,FRA
139.177.179.81,4,4,0.00,176.92,0.00,FRA
139.144.77.176,4,4,0.00,176.95,0.00,FRA
194.195.240.69,4,4,0.00,177.18,0.00,FRA
139.144.77.235,4,4,0.00,177.27,0.00,FRA
139.144.77.236,4,4,0.00,178.12,0.00,FRA
139.177.179.235,4,4,0.00,178.51,0.00,FRA
139.144.77.150,4,4,0.00,178.77,0.00,FRA
139.144.176.33,4,4,0.00,178.77,0.00,FRA
139.144.70.103,4,4,0.00,178.97,0.00,FRA
139.144.180.94,4,4,0.00,179.06,0.00,FRA
139.162.138.121,4,4,0.00,179.36,0.00,FRA
139.162.148.43,4,4,0.00,180.02,0.00,FRA
139.144.180.15,4,4,0.00,180.04,0.00,FRA
139.144.77.208,4,4,0.00,180.13,0.00,FRA
194.87.77.215,4,4,0.00,180.16,0.00,FRA
139.162.145.18,4,4,0.00,181.47,0.00,FRA
94.156.115.209,4,4,0.00,181.78,0.00,FRA
139.144.180.114,4,4,0.00,182.27,0.00,FRA
139.144.77.91,4,4,0.00,182.30,0.00,FRA
139.144.77.247,4,4,0.00,182.45,0.00,FRA
139.144.77.139,4,4,0.00,182.53,0.00,FRA
139.162.145.170,4,4,0.00,182.80,0.00,FRA
139.162.145.22,4,4,0.00,182.81,0.00,FRA
139.144.180.117,4,4,0.00,182.91,0.00,FRA
139.162.134.250,4,4,0.00,183.37,0.00,FRA
139.144.178.77,4,4,0.00,183.44,0.00,FRA
139.162.146.145,4,4,0.00,183.49,0.00,FRA
139.177.180.169,4,4,0.00,183.56,0.00,FRA
139.144.178.54,4,4,0.00,183.63,0.00,FRA
194.87.77.91,4,4,0.00,184.14,0.00,FRA
139.177.180.73,4,4,0.00,184.17,0.00,FRA
139.162.148.156,4,4,0.00,184.18,0.00,FRA
139.144.79.199,4,4,0.00,184.80,0.00,FRA
139.144.77.124,4,4,0.00,184.84,0.00,FRA
194.233.175.37,4,4,0.00,184.91,0.00,FRA
194.87.77.134,4,4,0.00,184.97,0.00,FRA
139.144.179.231,4,4,0.00,185.04,0.00,FRA
139.144.77.158,4,4,0.00,185.83,0.00,FRA
139.162.134.245,4,4,0.00,186.43,0.00,FRA
139.162.148.103,4,4,0.00,187.62,0.00,FRA
139.162.148.204,4,4,0.00,187.69,0.00,FRA
45.79.251.95,4,4,0.00,187.69,0.00,FRA
139.144.178.26,4,4,0.00,187.76,0.00,FRA
139.144.180.150,4,4,0.00,188.07,0.00,FRA
139.144.77.116,4,4,0.00,188.25,0.00,FRA
139.162.149.162,4,4,0.00,188.45,0.00,FRA
194.233.175.173,4,4,0.00,189.12,0.00,FRA
45.79.251.137,4,4,0.00,190.01,0.00,FRA
45.79.251.182,4,4,0.00,190.69,0.00,FRA
139.144.77.109,4,4,0.00,190.85,0.00,FRA
135.125.239.114,4,4,0.00,191.59,0.00,FRA
139.177.179.100,4,4,0.00,191.64,0.00,FRA
194.87.77.69,4,4,0.00,192.47,0.00,FRA
139.144.178.19,4,4,0.00,192.49,0.00,FRA
139.144.79.230,4,4,0.00,193.60,0.00,FRA
194.87.77.184,4,4,0.00,193.80,0.00,FRA
139.162.145.153,4,4,0.00,193.88,0.00,FRA
139.144.77.97,4,4,0.00,193.99,0.00,FRA
194.233.167.176,4,4,0.00,194.09,0.00,FRA
139.162.148.77,4,4,0.00,195.08,0.00,FRA
139.144.71.10,4,4,0.00,195.36,0.00,FRA
139.162.145.88,4,4,0.00,195.44,0.00,FRA
139.144.77.248,4,4,0.00,196.02,0.00,FRA
139.162.145.71,4,4,0.00,196.41,0.00,FRA
139.144.77.65,4,4,0.00,197.77,0.00,FRA
139.162.145.155,4,4,0.00,197.77,0.00,FRA
139.144.77.170,4,4,0.00,198.06,0.00,FRA
139.144.77.189,4,4,0.00,198.14,0.00,FRA
139.144.77.162,4,4,0.00,198.14,0.00,FRA
139.144.77.113,4,4,0.00,198.87,0.00,FRA
139.144.77.87,4,4,0.00,199.03,0.00,FRA
139.162.148.200,4,4,0.00,199.05,0.00,FRA
139.177.179.103,4,4,0.00,199.07,0.00,FRA
139.162.137.114,4,4,0.00,199.29,0.00,FRA
139.162.145.89,4,4,0.00,199.70,0.00,FRA
139.177.179.119,4,4,0.00,199.94,0.00,FRA
