IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
57.128.181.219,4,4,0.00,169.61,0.00,LHR
57.128.181.88,4,4,0.00,176.27,0.00,LHR
57.129.137.90,4,4,0.00,176.33,0.00,LHR
57.129.137.59,4,4,0.00,176.65,0.00,LHR
57.128.183.142,4,4,0.00,177.42,0.00,LHR
57.129.137.69,4,4,0.00,178.26,0.00,LHR
57.128.182.255,4,4,0.00,179.97,0.00,LHR
57.129.137.228,4,4,0.00,181.58,0.00,LHR
57.129.137.192,4,4,0.00,181.58,0.00,LHR
57.129.137.211,4,4,0.00,182.33,0.00,LHR
57.128.183.13,4,4,0.00,184.25,0.00,LHR
57.129.137.72,4,4,0.00,184.27,0.00,LHR
57.129.137.209,4,4,0.00,184.79,0.00,LHR
8.208.53.56,4,4,0.00,185.33,0.00,LHR
57.129.137.78,4,4,0.00,187.25,0.00,LHR
57.129.137.85,4,4,0.00,187.59,0.00,LHR
57.129.137.65,4,4,0.00,187.90,0.00,LHR
57.129.137.76,4,4,0.00,189.09,0.00,LHR
57.128.181.14,4,4,0.00,191.62,0.00,LHR
57.129.137.200,4,4,0.00,196.00,0.00,LHR
57.129.137.63,4,4,0.00,199.22,0.00,LHR
57.128.182.76,4,4,0.00,199.62,0.00,LHR
