IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
8.219.0.67,4,4,0.00,49.61,0.00,SIN
47.236.88.107,4,4,0.00,50.02,0.00,SIN
47.236.29.162,4,4,0.00,54.33,0.00,SIN
47.236.21.74,4,4,0.00,55.06,0.00,SIN
8.219.0.17,4,4,0.00,57.30,0.00,SIN
47.236.163.74,4,4,0.00,59.50,0.00,SIN
129.150.61.72,4,4,0.00,136.31,0.00,SIN
193.124.18.20,4,4,0.00,153.49,0.00,LAX
193.124.18.154,4,4,0.00,157.46,0.00,LAX
193.124.18.147,4,4,0.00,157.66,0.00,LAX
193.124.18.137,4,4,0.00,158.52,0.00,LAX
193.124.18.189,4,4,0.00,158.57,0.00,LAX
193.124.18.58,4,4,0.00,161.72,0.00,LAX
193.124.18.84,4,4,0.00,162.36,0.00,LAX
193.124.18.186,4,4,0.00,162.48,0.00,LAX
193.124.18.57,4,4,0.00,162.70,0.00,LAX
193.124.18.163,4,4,0.00,162.94,0.00,LAX
193.124.18.218,4,4,0.00,164.00,0.00,LAX
193.124.18.236,4,4,0.00,164.18,0.00,LAX
193.124.18.180,4,4,0.00,164.18,0.00,LAX
193.124.18.78,4,4,0.00,164.22,0.00,LAX
193.124.18.155,4,4,0.00,164.23,0.00,LAX
193.124.18.177,4,4,0.00,164.90,0.00,LAX
193.124.18.88,4,4,0.00,165.04,0.00,LAX
193.124.18.244,4,4,0.00,165.28,0.00,LAX
193.124.18.21,4,4,0.00,165.58,0.00,LAX
193.124.18.63,4,4,0.00,165.85,0.00,LAX
193.124.18.79,4,4,0.00,166.08,0.00,LAX
193.124.18.231,4,4,0.00,166.26,0.00,LAX
193.124.18.28,4,4,0.00,166.38,0.00,LAX
193.124.18.75,4,4,0.00,167.26,0.00,LAX
193.124.18.29,4,4,0.00,167.40,0.00,LAX
193.124.18.206,4,4,0.00,167.67,0.00,LAX
193.124.18.135,4,4,0.00,167.69,0.00,LAX
193.124.18.48,4,4,0.00,168.52,0.00,LAX
