IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
8.218.128.140,4,4,0.00,18.24,0.00,HKG
47.239.183.154,4,4,0.00,18.91,0.00,HKG
47.243.206.137,4,4,0.00,19.79,0.00,HKG
47.242.249.84,4,4,0.00,22.11,0.00,HKG
8.212.27.131,4,4,0.00,25.23,0.00,HKG
8.219.0.67,4,4,0.00,47.00,0.00,SIN
47.236.29.162,4,4,0.00,47.94,0.00,SIN
47.236.88.107,4,4,0.00,48.51,0.00,SIN
8.219.107.90,4,4,0.00,53.86,0.00,SIN
47.236.163.74,4,4,0.00,55.58,0.00,SIN
47.236.21.74,4,4,0.00,58.64,0.00,SIN
8.219.0.17,4,4,0.00,61.48,0.00,SIN
8.209.224.148,4,4,0.00,69.43,0.00,NRT
47.239.125.132,4,4,0.00,70.40,0.00,HKG
47.91.16.77,4,4,0.00,79.37,0.00,NRT
8.213.157.76,4,4,0.00,80.45,0.00,ICN
8.213.133.87,4,4,0.00,81.58,0.00,ICN
47.238.71.46,4,4,0.00,126.29,0.00,HKG
129.150.61.72,4,4,0.00,147.20,0.00,SIN
139.162.134.205,4,4,0.00,149.88,0.00,FRA
139.144.178.26,4,4,0.00,150.04,0.00,FRA
193.124.18.198,4,4,0.00,152.57,0.00,LAX
194.87.77.215,4,4,0.00,153.99,0.00,FRA
139.177.180.40,4,4,0.00,154.14,0.00,FRA
139.144.178.103,4,4,0.00,155.70,0.00,FRA
193.124.18.70,4,4,0.00,159.10,0.00,LAX
193.124.18.18,4,4,0.00,160.85,0.00,LAX
194.195.240.69,4,4,0.00,161.64,0.00,FRA
193.124.18.235,4,4,0.00,163.02,0.00,LAX
139.144.77.124,4,4,0.00,163.06,0.00,FRA
193.124.18.94,4,4,0.00,163.59,0.00,LAX
193.124.18.33,4,4,0.00,164.04,0.00,LAX
193.124.18.169,4,4,0.00,164.69,0.00,LAX
193.124.18.28,4,4,0.00,164.82,0.00,LAX
193.124.18.155,4,4,0.00,164.94,0.00,LAX
193.124.18.173,4,4,0.00,165.11,0.00,LAX
193.124.18.20,4,4,0.00,165.21,0.00,LAX
193.124.18.80,4,4,0.00,166.13,0.00,LAX
193.124.18.79,4,4,0.00,166.15,0.00,LAX
139.144.77.89,4,4,0.00,166.19,0.00,FRA
193.124.18.211,4,4,0.00,166.56,0.00,LAX
139.177.180.73,4,4,0.00,166.59,0.00,FRA
193.124.18.174,4,4,0.00,166.69,0.00,LAX
193.124.18.219,4,4,0.00,166.75,0.00,LAX
193.124.18.37,4,4,0.00,166.93,0.00,LAX
193.124.18.137,4,4,0.00,166.94,0.00,LAX
95.182.101.235,4,4,0.00,167.13,0.00,SJC
139.144.178.84,4,4,0.00,168.08,0.00,FRA
139.144.180.117,4,4,0.00,168.20,0.00,FRA
193.124.18.253,4,4,0.00,168.71,0.00,LAX
139.144.77.50,4,4,0.00,168.79,0.00,FRA
193.124.18.42,4,4,0.00,169.04,0.00,LAX
193.124.18.44,4,4,0.00,169.05,0.00,LAX
193.124.18.248,4,4,0.00,169.22,0.00,LAX
193.124.18.17,4,4,0.00,169.85,0.00,LAX
193.124.18.7,4,4,0.00,170.51,0.00,LAX
193.124.18.1,4,4,0.00,171.13,0.00,LAX
193.124.18.225,4,4,0.00,171.83,0.00,LAX
194.87.77.91,4,4,0.00,172.01,0.00,FRA
193.124.18.30,4,4,0.00,172.16,0.00,LAX
45.154.3.68,4,4,0.00,172.64,0.00,SJC
45.79.251.137,4,4,0.00,172.72,0.00,FRA
193.124.18.172,4,4,0.00,172.91,0.00,LAX
193.124.18.206,4,4,0.00,172.94,0.00,LAX
139.177.180.152,4,4,0.00,172.94,0.00,FRA
193.124.18.83,4,4,0.00,173.78,0.00,LAX
193.124.18.82,4,4,0.00,173.81,0.00,LAX
193.124.18.109,4,4,0.00,174.10,0.00,LAX
57.128.182.61,4,4,0.00,174.11,0.00,LHR
193.124.18.163,4,4,0.00,174.12,0.00,LAX
193.124.18.41,4,4,0.00,174.17,0.00,LAX
193.124.18.196,4,4,0.00,174.27,0.00,LAX
193.124.18.43,4,4,0.00,174.51,0.00,LAX
193.124.18.6,4,4,0.00,174.59,0.00,LAX
193.124.18.132,4,4,0.00,174.69,0.00,LAX
